<2015-10-1 2:23:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:-2
<2015-10-1 2:23:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:23:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:23:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:23:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:24:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:24:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:24:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:24:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:24:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:24:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:25:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:25:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:25:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:25:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:25:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:25:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:26:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:26:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:26:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:26:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:26:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:26:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:27:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:27:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:27:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:27:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:27:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:27:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:28:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:28:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:28:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:28:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:28:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:28:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:29:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:29:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:29:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:29:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:29:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:29:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:30:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:30:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:30:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:30:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
